"Product ID","Name","Description","Meta Title","Meta description","Meta keywords"
48,"Bloch Proform Leather Ballet Shoes","<p>Leather split sole with a specially shaped forefoot&nbsp;outsole pad to protect the metatarsals.&nbsp;Ridges underfoot are minimized for a flatter and&nbsp;more stable surface for turns and balances.&nbsp;Anti-bacterial cotton lining.</p>","Bloch Proform Leather Ballet Shoes","Bloch Proform girls leather pink ballet shoes split sole for ballet beginners. Bloch handmade professional dance shoes since 1932",
49,"Bloch Proform Canvas Ballet Shoes","<p>Canvas split sole with a specially shaped forefoot&nbsp;outsole pad to protect the metatarsals.&nbsp;Ridges underfoot are minimized for a flatter and&nbsp;more stable surface for turns and balances.&nbsp;Anti-bacterial cotton lining.</p>","Bloch Proform Canvas Ballet Shoes","Bloch Proform girls canvas pink ballet shoes split sole for ballet beginners. Bloch handmade professional dance shoes since 1932",
50,"Bloch Proarch Leather Ballet Shoes","<p>Leather split sole with fine mesh arch insert that&nbsp;hugs the foot when pointing and allows the foot to&nbsp;breathe.&nbsp;Anti-bacterial cotton lining.</p>","Bloch Proarch Leather Ballet Shoes","Bloch Proarch girls leather pink ballet shoes split sole with mesh vent. Bloch handmade professional dance shoes since 1932",
51,"Bloch Proarch Canvas Ballet Shoes","<p>Leather split sole with fine mesh arch insert that&nbsp;hugs the foot when pointing and allows the foot to&nbsp;breathe.&nbsp;Anti-bacterial cotton lining.</p>","Bloch Proarch Canvas Ballet Shoes","Bloch Proarch girls canvas pink ballet shoes split sole with mesh vent. Bloch handmade professional dance shoes since 1932",
52,"Bloch Pump Ballet Shoes","<p>Canvas split sole.&nbsp;Traditional stitching technique encourages the shoe&nbsp;to hug the arch when pointing.</p>","Bloch Pump Ballet Shoes","Bloch Pump girls canvas pink ballet shoes split sole with traditional stitching. Bloch handmade professional dance shoes since 1932",
53,"Bloch Mens Pump Ballet Shoes","<p>Canvas split sole.&nbsp;Traditional stitching technique encourages the shoe&nbsp;to hug the arch when pointing.</p>","Bloch Mens Pump Ballet Shoes","Bloch Pump mens canvas black ballet shoes split sole with traditional stitching. Bloch handmade professional dance shoes since 1932",
54,"Bloch Pro Elastic Ballet Shoe","<p>A canvas split sole ballet flat with elastic in place of&nbsp;binding and drawstring &ndash; the elastic contours to the&nbsp;foot, reduces pressure on the Achilles tendon and&nbsp;on the dorsal surface of the foot when it contacts&nbsp;the floor.&nbsp;Pre-sewn crossed instep elastics.&nbsp;Triangle stretch canvas arch insert that hugs the&nbsp;foot when pointing.&nbsp;Forefoot outsole pad shaped to protect the&nbsp;metatarsals.</p>","Bloch Pro Elastic Ballet Shoe","Bloch pro elastic girls canvas pink ballet shoes split sole elastic binding. Bloch handmade professional dance shoes since 1932",
55,"Bloch Foot Glove","<p>Acts as a barely visible layer on your foot, protecting&nbsp;it from abrasion.&nbsp;Breathable mesh upper with form fitting leather outsole.&nbsp;Easy to use toe holes for universal fit.</p>","Bloch Foot Glove","Bloch foot gloves leather pad protects the ball of your foot when dancing. Bloch professional dance shoes since 1932",
56,"Bloch Soleil Foot Glove","<p>Soft supple leather protects toes and ball of foot&nbsp;from abrasion.&nbsp;Silicon backed elastic grips the foot preventing the&nbsp;strap from slipping.&nbsp;Cotton terry lining for comfort.</p>","Bloch Soleil Foot Glove","Bloch Soleil foot gloves leather pad protects toes and the ball of your foot when dancing. Bloch professional dance shoes since 1932",
57,"Bloch Foot thong III","<p>Double sided, suede leather forefoot pad protects&nbsp;the ball of the foot from abrasion, particularly in&nbsp;styles such as contemporary, jazz and lyrical.&nbsp;Silicon lined elastic secures forefoot pad to the foot.&nbsp;Thin suede strips in between the toes stop the pad&nbsp;from twisting.</p>","Bloch Foot thong III","Bloch foot thong III leather footpad protector for the ball of foot. Designed to protect feet in Jazz and contemporary dance routines. Bloch handmade professional dance shoes since 1932",
58,"Bloch Foot Wrap II","<p>Toe openings positioned for ease of weight&nbsp;distribution and lined with a layer of silicon to&nbsp;ensure a tight, secure fit.&nbsp;Breathable mesh.&nbsp;Suede cushioning design to give enough slip and&nbsp;grip against the dance floor.</p>","Bloch Foot Wrap II","Bloch foot wrap II leather footpad protector for the ball of foot. Designed to protect feet in Jazz and contemporary dance routines. Bloch handmade professional dance shoes since 1932",
59,"Eclipse Leather","<p>Supple leather upper that protects foot without&nbsp;restricting movement.&nbsp;Silicon backing on elastic strap to prevent strap&nbsp;slipping while on foot.&nbsp;Leather outsole for turning ease, and cotton terry&nbsp;lining for comfort.</p>","Eclipse Leather",,
60,"Bloch Chord T-Bar Dance Shoes","<p>A leather chorus shoe T-Bar strap and a 3&rdquo; heel.&nbsp;Cushioned insole for comfort and shock absorption.&nbsp;Elastic strap to release tension on the instep.</p>","Bloch Chord black leather T-Bar Dance Shoes","Bloch Chord black leather T-Bar Dance Shoes 3 inch heel also available in tan. Bloch handmade professional dance shoes since 1932",
61,"Bloch Chord Ankle Dance Shoes","<p>A leather chorus shoe with a 3&rdquo; heel.&nbsp;Cushioned insole for comfort and shock absorption.&nbsp;Elastic strap to release tension on the instep.</p>","Bloch Chord Ankle Dance Shoes","Bloch Chord black leather ankle strap dance shoes 3 inch heel also available in tan. Bloch handmade professional dance shoes since 1932",
62,"Splitflex Dance Shoes","<p>A versatile leather character shoe.&nbsp;Suede forefoot outsole.&nbsp;Elasticized panel underfoot enables the Splitflex to&nbsp;move with the foot in pointe and demi.</p>","Splitflex Dance Shoes","Bloch handmade professional dance shoes since 1932",
63,"Splitpro Dance Shoes","<p>Cushioned insole and internal shank stabilizer reinforces the heel without compromising flexibility. Leather upper and lining with contoured 3&rdquo; heel. Suede forefoot outsole for ease of turning and sliding while providing control.</p>","Splitpro Dance Shoes","Bloch handmade professional dance shoes since 1932",
64,"Bloch Grecian Sandal Teaching Dance Shoe","<p>Suede split sole teaching shoe with leather upper.&nbsp;1&rdquo; heel to reduce strain on the Achilles tendon and&nbsp;the calf muscle.&nbsp;T-bar leather strap with elastic to reduce pressure&nbsp;on the instep.</p>","Bloch Grecian Sandal Teaching Dance Shoe","T Bar leather dance shoe in Pink or Black. Bloch handmade professional dance shoes since 1932",
65,"Bloch Merry Jane Tap Shoes","<p>Introductory synthetic leather tap shoe with a&nbsp;removable matching bow that slides on and off the&nbsp;instep strap.&nbsp;Cushioned insole for comfort and shock absorption.&nbsp;Elastic strap join to release tension on the instep.&nbsp;Techno heel &amp; toe taps.</p>
<p><span style=""font-size: small;""><br /></span></p>","Bloch Merry Jane Tap Shoes","Bloch Merry Jane black synthetic leather tap shoes. Bloch handmade professional dance tap shoes since 1932",
66,"Bloch Charleston Tap Shoes","<p>Steel resonance plate between the tap and outsole&nbsp;for optimum depth and pitch.&nbsp;Man made upper and leather sole.&nbsp;Soft dri-lex lining for luxurious comfort and wicking&nbsp;properties.&nbsp;Cushioning insole for comfort and shock absorption.&nbsp;Shockwave heel &amp; toe taps.</p>","Bloch Charleston Tap Shoes","Bloch Charleston Leather Tap Shoes. Steel resonance plate to deliver optimum pitch on the tap. Bloch handmade professional dance tap shoes since 1932",
67,"Bloch Respect Tap Shoes","<p>Lace up full grain leather upper and leather stacked heel.&nbsp;Kashmir lining for comfort and to reduce moisture.&nbsp;Heel notch to reduce pressure on the Achilles&nbsp;tendon.&nbsp;Stitch detail on upper for a character shoe look.&nbsp;Shockwave heel &amp; toe taps.</p>","Bloch Respect Tap Shoes","Bloch Respect Leather Tap Shoes. Shockwave heal and toe taps to deliver optimum pitch on the tap. Bloch handmade professional dance tap shoes since 1932",
68,"Bloch Audeo Tap Shoes","<p>Lace up full grain leather upper and leather stacked heel.&nbsp;Kashmir lining for comfort and to reduce moisture.&nbsp;Heel notch to reduce pressure on the Achilles&nbsp;tendon.</p>","Bloch Audeo Tap Shoes","Bloch Audeo Leather Tap Shoes. Heal notch to reduce achilles tendon pressure. Bloch handmade professional dance tap shoes since 1932",
69,"Bloch Jason Samuel Smith Tap Shoes","<p>Oxford leather upper with build up &ndash; a double hard&nbsp;leather outsole.&nbsp;Triple stacked heel.&nbsp;Steel resonance plate between the tap and outsole&nbsp;for optimum depth and pitch.&nbsp;Kashmir lining for comfort and to reduce moisture.</p>","Bloch Jason Samuel Smith Tap Shoes","Bloch Jason Samual Smith  leather tap shoes. Steel resonance plate to deliver optimum pitch on the tap. Bloch handmade professional dance tap shoes since 1932",
70,"Bloch Techno Heel Tap Shoes","<p>Special formulated and composite alloy create a distinct&nbsp;and rich sound.</p>","Bloch Replacement Techno Heel Tap Shoes","Bloch Replacement Techno Heel Taps. Bloch handmade professional dance tap shoes since 1932",
71,"Bloch Techno Toe Tap Shoes","<p>al formulated and composite alloy create a distinct&nbsp;and rich sound.</p>","Bloch Replacement Techno Toe Tap Shoes","Bloch Replacement Techno Toe Taps. Bloch handmade professional dance tap shoes since 1932",
72,"Bloch Slipstream Jazz Shoes","<p>Leather and mesh slip on upper with an elastic&nbsp;lacing system for a secure fit.&nbsp;Rubber split sole.</p>","Bloch Slipstream Jazz Shoes","Bloch Slipstream Black Jazz Shoes, split sole leather and mesh. Bloch handmade professional dance jazz shoes since 1932",
73,"Bloch Neo Flex Jazz Dance Shoes","<p>Bloch&rsquo;s specially developed soft, strong leather jazz shoe.&nbsp;Slip on version of S0493.</p>","Bloch Neo Flex Jazz Dance Shoes","Bloch Neo Flex black leather jazz shoes, split sole. Bloch handmade professional dance jazz shoes since 1932",
74,"Bloch Neo-Jazz Jazz Dance Shoes","<p>Lace up, leather upper with neoprene mid-section&nbsp;to hug the arch.&nbsp;Rubber split sole.</p>","Bloch Neo-Jazz Jazz Dance Shoes","Bloch Slipstream Black Neo leather lace up Jazz Shoes, split sole. Bloch handmade professional dance jazz shoes since 1932",
75,"Bloch Jazzsoft Kids Jazz Dance Shoes","<p>Leather, lace up upper with leather arch panel for&nbsp;increased flexibility.&nbsp;Rubber split sole.</p>","Bloch Jazzsoft Kids Jazz Dance Shoes","Bloch jazzsoft white girls leather jazz shoes, split sole. Bloch handmade professional dance jazz shoes since 1932",
76,"Bloch Enduro Tech Jazz Dance Shoes","<p>Leather lace up upper with mesh arch and&nbsp;punctured insole for aeration.&nbsp;Reinforced suede on outsole for durability.&nbsp;Heel notch to reduce stress on the Achilles tendon.</p>","Bloch Enduro Tech Jazz Dance Shoes","Bloch Enduro Tech Jazz Dance Shoes. Bloch handmade professional dance jazz shoes since 1932",
77,"Bloch Enduro Bootie Jazz Dance Boot","<p>Leather slip on upper with stretch satin instep&nbsp;panels for a snug fit.&nbsp;Rubber split sole.</p>","Bloch Enduro Bootie Jazz Dance Boot","Bloch Enduro Bootie Jazz Dance Boot. Bloch handmade professional dance jazz shoes since 1932",
78,"Bloch Ballet Pointe Cushion (S/M)","<p>Lightweight silicon pad to be worn with pointe&nbsp;shoes for protection while en pointe.&nbsp;Provides protection to toes from pressure associated&nbsp;with pointe work.&nbsp;Washable and re-usable.&nbsp;Can be cut to size required by dancer.</p>","Bloch Ballet Pointe Cushion (S/M)","Bloch Ballet Pointe Cushion. Bloch handmade professional ballet pointe dance shoes since 1932",
79,"Bloch Gel Strip Pressure Protection","<p>Gel coating to ease pressure from the joint.</p>","Bloch Gel Strip Pressure Protection","Bloch Gel Strip Pressure Protection. Bloch handmade professional ballet pointe dance shoes since 1932",
80,"Bloch Gel Tip (S/M) Pressure Protection","<p>Thimble like tips protect toe nails &amp; joints.</p>
<p>Can be cut to size to fit shorter toes.</p>","Bloch Gel Tip (S/M) Pressure Protection","Bloch Gel Tip (S/M) Pressure Protection. Bloch handmade professional ballet pointe dance shoes since 1932",
81,"Bloch Bunion Guard Gel","<p>Gel coating to protect.</p>","Bloch Bunion Guard Gel","Bloch Bunion Guard Gel. Bloch handmade professional ballet pointe dance shoes since 1932",
82,"Bloch Toe Separators","<p>Helps alleviate inner toe friction and irritation caused by toe nails or corns.</p>","Bloch Toe Separators","Bloch Toe Separators. Bloch handmade professional ballet pointe dance shoes since 1932",
83,"Bloch Toe Spacer Max","<p>Helps alleviate inner toe friction and irritation caused by toe nails or corns.</p>","Bloch Toe Spacer Max","Bloch Toe Spacer Max. Bloch handmade professional ballet pointe dance shoes since 1932",
84,"Bloch Prima Pro Pad (S/M)","<p>Thin fabric base instead of gel reduces bulk. Darts on either&nbsp;side of the upper help to create a good fit.</p>","Bloch Prima Pro Pad (S/M)","Bloch Prima Pro Pad (S/M). Bloch handmade professional ballet pointe dance shoes since 1932",
85,"Bloch Space Enhancer ","<p>Helps alleviate inner toe friction and irritation cause by toenails or corns.</p>","Bloch Space Enhancer ","Bloch Space Enhancer . Bloch handmade professional ballet pointe dance shoes since 1932",
86,"Bloch Ladies Micro Dance Shorts","<p class=""sizes"">Micro short in fine gauge jersey knit with ribbed waistband.</p><p class=""sizes""><strong>Fabric:</strong><br />Jersey and Rib - Rayon / Nylon / Spandex</p>","Bloch Ladies Micro Dance Shorts","Bloch Ladies Micro Dance Shorts. Bloch professional dancewear since 1932",
88,"Bloch Ladies Roll Over High Dance Shorts","<p class=""sizes"">Short with ribbed waist. May be worn folded down over hips, or extended to warm lower back.</p>
<p class=""sizes""><strong>Fabric:</strong><br />Jersey and Rib - Rayon / Nylon / Spandex</p>
<p class=""sizes"">&nbsp;</p>","Bloch Ladies Roll Over High Dance Shorts.","Bloch Ladies Roll Over High Dance Shorts.. Bloch professional dancewear since 1932",
89,"Bloch Over Knee Leg Warmers","<p class=""sizes"">Over knee leg warmer in fine gauge jersey knit. Ribbed trim at thigh and ankle, can be worn scrunched.</p>
<p class=""sizes""><strong>Fabric:</strong><br />Plain Rib and Knit - Rayon / Nylon / Spandex</p>
<p class=""sizes"">&nbsp;</p>","Bloch Over Knee Leg Warmers","Bloch Over Knee Leg Warmers. Bloch professional dancewear since 1932",
90,"Bloch Ladies Pleated Bodice Dance Leotard","<p>Pleated bodice cap sleeve leotard.</p>
<p>&nbsp;</p>
<p><strong>Fabric:</strong></p>
<p>Micro spandex</p>
<p>&nbsp;</p>","Bloch Ladies Pleated Bodice Dance Leotard","Bloch Ladies Pleated Bodice Dance Leotard. Bloch professional dancewear since 1932",
91,"Bloch Ladies Pleated Bodice Cami Dance Leotard","<p>Pleated bodice cami leotard.</p>
<p>&nbsp;</p>
<p><strong>Fabric:</strong></p>
<p>Micro spandex</p>","Bloch Ladies Pleated Bodice Cami Dance Leotard","Bloch Ladies Pleated Bodice Cami Dance Leotard. Bloch professional dancewear since 1932",
92,"Bloch Ladies Knotted Twist Back Dance Leotard","<p>Knotted twist back leotard.&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Fabric:</strong></p>
<p>Supplex spandex</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","Bloch Ladies Knotted Twist Back Dance Leotard","Bloch Ladies Knotted Twist Back Dance Leotard. Bloch professional dancewear since 1932",
93,"Bloch Ladies Knotted Oval Back Dance Leotard","<p>Knotted oval back leotard.</p>
<p>&nbsp;</p>
<p><strong>Fabric:</strong></p>
<p>Supplex spandex</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","Bloch Ladies Knotted Oval Back Dance Leotard","Bloch Ladies Knotted Oval Back Dance Leotard. Bloch professional dancewear since 1932",
94,"Bloch Ladies Kina Twisted Cap Sleeve Dance Leotard","<p>Twist cap sleeve leotard.</p>
<p>&nbsp;</p>
<p><strong>Fabric:</strong></p>
<p>Main - Microlux&trade; Nylon / Spandex</p>
<p>Contrast - Nylon / Spandex sheer</p>","Bloch Ladies Kina Twisted Cap Sleeve Dance Leotard","Bloch Ladies Kina Twisted Cap Sleeve Dance Leotard. Bloch professional dancewear since 1932",
95,"Bloch Mahina Satin Frill Dance Leotard","<p>Satin frill trim back slit leotard.</p>
<p>&nbsp;</p>
<p>Fabric:</p>
<p>Main - Microlux&trade; Nylon / Spandex</p>
<p>Contrast - Nylon / Spandex sheer</p>","Bloch Mahina Satin Frill Dance Leotard","Bloch Mahina Satin Frill Dance Leotard. Bloch professional dancewear since 1932",
